,0
0,!
1,! '
2,! ''
3,$
4,$ 100
5,$ 100 million
6,&
7,& found
8,& mrs.
9,& mrs. smith
10,'
11,"' ,"
12,' --
13,' .
14,' a
15,' and
16,' but
17,' film
18,' first
19,' ha
20,' in
21,' is
22,' movie
23,' that
24,''
25,'' and
26,'' ha
27,'' is
28,'' is a
29,'' that
30,'' the
31,'50s
32,'60s
33,'70s
34,'80s
35,'80s .
36,'90s
37,'90s .
38,'d
39,'d expect
40,'d had
41,'em
42,'i
43,'ll
44,'ll be
45,'ll find
46,'ll laugh
47,'m
48,'m not
49,'re
50,'re a
51,'re all
52,'re going
53,'re going to
54,'re in
55,'re in the
56,'re left
57,'re looking
58,'re looking for
59,'re meant
60,'re meant to
61,'re not
62,'re watching
63,'re watching it
64,'s
65,"'s ,"
66,'s .
67,'s ]
68,'s ``
69,'s a
70,'s a bit
71,'s a compelling
72,'s a film
73,'s a fine
74,'s a good
75,'s a great
76,'s a if
77,'s a little
78,'s a long
79,'s a lot
80,'s a movie
81,'s a pleasure
82,'s a shame
83,'s a wonderful
84,'s about
85,'s about the
86,'s all
87,'s all that
88,'s almost
89,'s also
90,'s also a
91,'s also the
92,'s always
93,'s an
94,'s an entertaining
95,'s at
96,'s bad
97,'s become
98,'s been
99,'s best
100,'s best .
101,'s best film
102,'s best work
103,'s best-selling
104,'s better
105,'s big
106,"'s big ,"
107,'s book
108,"'s book ,"
109,'s both
110,'s career
111,'s certainly
112,'s character
113,'s cinematography
114,'s classic
115,'s comic
116,'s consistently
117,'s deft
118,'s dialogue
119,'s difficult
120,'s difficult to
121,'s direction
122,"'s direction ,"
123,'s direction is
124,'s documentary
125,'s done
126,'s dream
127,'s early
128,'s easy
129,'s easy to
130,'s enjoyable
131,'s enough
132,'s entertainment
133,'s epic
134,'s essentially
135,'s even
136,'s ever
137,'s eye
138,'s face
139,'s fan
140,'s fantasy
141,'s far
142,'s fascinating
143,'s feature
144,'s film
145,"'s film ,"
146,'s film is
147,'s final
148,'s finest
149,'s first
150,'s fortune
151,'s fun
152,'s funny
153,'s going
154,'s going to
155,'s good
156,'s got
157,'s great
158,'s greatest
159,'s hard
160,'s hard not
161,'s hard to
162,'s heart
163,'s idea
164,'s imagination
165,'s impossible
166,'s impossible to
167,'s in
168,'s just
169,'s just a
170,'s last
171,'s latest
172,'s le
173,'s life
174,"'s life ,"
175,'s like
176,'s like a
177,'s likely
178,'s likely to
179,'s list
180,'s little
181,'s lost
182,'s main
183,'s message
184,'s missing
185,'s more
186,'s most
187,'s most ambitious
188,'s movie
189,'s movie .
190,'s movie is
191,'s much
192,'s name
193,'s never
194,'s new
195,'s no
196,'s no denying
197,'s not
198,'s not .
199,'s not a
200,'s not enough
201,'s not just
202,'s not much
203,'s not the
204,'s nothing
205,'s nothing to
206,'s novel
207,'s often
208,'s on
209,'s on the
